,total_pen,total_incidents,Camera_Type,Location_Desc,lat,lon
3007,935145.0,500,MOBILE SPEED CAMERA,MAJURA AVENUE - NORTH AINSLIE PRIMARY SCHOOL,-35.253978,149.147274
3020,90532.0,118,MOBILE SPEED CAMERA,BEASLEY STREET TORRENS PRIMARY SCHOOL,-35.371858,149.091117
3050,1127583.0,418,MOBILE SPEED CAMERA,OODGEROO AVENUE - FRANKLIN EARLY CHILDHOOD SCHOOL,-35.197066,149.145771
3018,1642112.0,592,MOBILE SPEED CAMERA,LAUNCESTON STREET CANBERRA COLLEGE,-35.340335,149.090097
1001,30926132.0,2723,RED LIGHT AND SPEED CAMERA,NORTHBOURNE AVENUE/LONDON CIRCUIT,-35.27941,149.12925
1008,1553738.0,1085,RED LIGHT AND SPEED CAMERA,HINDMARSH DRIVE/TUGGERANONG PARKWAY,-35.3483,149.068284
1002,17910155.0,2094,RED LIGHT AND SPEED CAMERA,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,-35.2761,149.12948
1023,2848341.0,1642,RED LIGHT AND SPEED CAMERA,CANBERRA AVENUE/HINDMARSH DRIVE/NEWCASTLE STREET,-35.33802,149.176871
1020,13444904.0,1607,RED LIGHT AND SPEED CAMERA,BARRY DRIVE/MARCUS CLARKE STREET,-35.2755,149.12725
1011,1559484.0,1037,RED LIGHT AND SPEED CAMERA,GINNINDERRA DRIVE/COULTER DRIVE,-35.22168,149.06305
3006,590567.0,336,MOBILE SPEED CAMERA,BRIGALOW STREET - LYNEHAM PRIMARY SCHOOL,-35.25063,149.12583
3060,74690.0,86,MOBILE SPEED CAMERA,MARCONI CRESCENT - TAYLOR PRIMARY SCHOOL,-35.377686,149.064281
3077,73207.0,74,MOBILE SPEED CAMERA,"KINGSFORD SMITH PRIMARY STARKE STREET, HOLT",-35.228317,149.020238
3061,517103.0,325,MOBILE SPEED CAMERA,NAMATJIRA DRIVE - ST JOHN VIANNY PRIMARY SCHOOL,-35.351858,149.054001
3038,833248.0,450,MOBILE SPEED CAMERA,"COWPER STREET, DARAMALAN COLLEGE",-35.253648,149.139205
3067,171516.0,133,MOBILE SPEED CAMERA,"SCHUMACK ST, WEETANGERA WEETANGERA PRIMARY",-35.25254,149.048896
3064,47902.0,70,MOBILE SPEED CAMERA,"BENNELONG CRES, MACQUARIE",-35.250633,149.058803
3005,80038.0,115,MOBILE SPEED CAMERA,MURRANJI STREET - BELCONNEN HIGH SCHOOL,-35.247255,149.040058
3059,155956.0,165,MOBILE SPEED CAMERA,HEAGNEY CRESCENT - GILMORE PRIMARY,-35.419625,149.13598
3039,183654.0,232,MOBILE SPEED CAMERA,"DONALDSON STREET, AINSLIE SCHOOL",-35.274185,149.139599
3008,37261.0,61,MOBILE SPEED CAMERA,KOSCIUSZKO AVENUE - PALMERSTON PRIMARY SCHOOL,-35.197898,149.119858
3055,22648.0,37,MOBILE SPEED CAMERA,KNOKE AVE - GORDON PRIMARY,-35.456732,149.086053
3078,412012.0,210,MOBILE SPEED CAMERA,"CRANLEIGH SCHOOL STARKE STREET, HIGGINS",-35.225924,149.028609
3031,348401.0,318,MOBILE SPEED CAMERA,TILLYARD DR FRASER PRIMARY SCHOOL,-35.192488,149.043271
3063,142949.0,123,MOBILE SPEED CAMERA,"O’HALLORAN CIRC, KAMBAH",-35.393191,149.066987
3003,57275.0,82,MOBILE SPEED CAMERA,MAPLETON AVENUE – MOTHER TERESA PRIMARY SCHOOL,-35.194354,149.15427
3023,214316.0,220,MOBILE SPEED CAMERA,CARRUTHERS STREET CURTIN PRIMARY SCHOOL,-35.331275,149.078696
3030,771131.0,409,MOBILE SPEED CAMERA,KELLEWAY AVE GOLD CREEK HIGH,-35.17976,149.092719
3042,109549.0,124,MOBILE SPEED CAMERA,"MULLEY STREET, ST JUDE’S PRIMARY",-35.332975,149.049043
3035,69697.0,83,MOBILE SPEED CAMERA,MURRANJI STREET HAWKER COLLAGE,-35.24436,149.031399
3045,180367.0,174,MOBILE SPEED CAMERA,BUGDEN AVE - GOWRIE PRIMARY SCHOOL,-35.414688,149.111849
3073,66412.0,82,MOBILE SPEED CAMERA,"AINSWORTH STREET, MAWSON PRIMARY",-35.357853,149.0971
3004,111972.0,121,MOBILE SPEED CAMERA,NULLARBOR AVENUE - HARRISON PRIMARY SCHOOL,-35.201501,149.152666
3054,199534.0,167,MOBILE SPEED CAMERA,"COVENANT CHRISTIAN SCHOOL WOODCOCK DRIVE, GORDON",-35.439408,149.08908
3075,169936.0,157,MOBILE SPEED CAMERA,KENT STREET HUGHES PRIMARY,-35.330984,149.094202
3022,215730.0,193,MOBILE SPEED CAMERA,LAUNCESTON STREET LYONS PRIMARY SCHOOL,-35.341047,149.076029
3015,206569.0,208,MOBILE SPEED CAMERA,LA PEROUSE STREET RED HILL PRIMARY,-35.339955,149.134001
3051,34393.0,55,MOBILE SPEED CAMERA,"ST ANTHONY PRIMARY WHEELER CRESCENT, WANNIASSA",-35.394878,149.080477
3043,121353.0,143,MOBILE SPEED CAMERA,"PERRY DRIVE, CHAPMAN PRIMARY",-35.357178,149.042929
3037,31714.0,61,MOBILE SPEED CAMERA,KNOX STREET MAJURA PRIMARY SCHOOL,-35.237474,149.152808
3010,45042.0,66,MOBILE SPEED CAMERA,NATIONAL CIRCUIT - FORREST PRIMARY SCHOOL,-35.315443,149.126609
3000,1286845.0,657,MOBILE SPEED CAMERA,COLLEGE STREET - RADFORD COLLEGE,-35.242385,149.087771
3027,132161.0,165,MOBILE SPEED CAMERA,BODDINGTON CRES ST THOMAS THE APOSTLE,-35.380428,149.052719
3009,31938.0,52,MOBILE SPEED CAMERA,BANDJALONG CRESCENT - ARANDA PRIMARY SCHOOL,-35.256223,149.079421
1025,2072942.0,1176,RED LIGHT AND SPEED CAMERA,GUNGAHLIN DRIVE/GUNDAROO DRIVE,-35.1863,149.1191
3001,26451.0,49,MOBILE SPEED CAMERA,LHOTSKY STREET - ST THOMAS AQUINAS PRIMARY SCHOOL,-35.204721,149.030789
3046,77576.0,92,MOBILE SPEED CAMERA,GOODWIN STREET -  LYNEHAM HIGH SCHOOL,-35.25293,149.131042
4002,423523.0,171,MOBILE SPEED CAMERA,HORSE PARK DRIVE - ROAD WORKS - HARRISON,-35.197646,149.162917
3069,27475.0,38,MOBILE SPEED CAMERA,"WIRRAWAY CRES, SCULLIN SOUTHERN CROSS PRIMARY.",-35.232279,149.037351
3076,102819.0,131,MOBILE SPEED CAMERA,"KOOTARA CRESCENT, NARRABUNDAH EARLY CHILDHOOD SCHOOL",-35.329335,149.150512
3033,14184.0,28,MOBILE SPEED CAMERA,RATCLIFFE CRES FLOREY PRIMARY SCHOOL,-35.226658,149.052354
3019,88863.0,132,MOBILE SPEED CAMERA,MARR STREET MELROSE HIGH SCHOOL,-35.361795,149.087758
3072,11137.0,15,MOBILE SPEED CAMERA,"LANGDON AVE, WANNIASSA WANNIASSA HILL PRIMARY.",-35.394284,149.096534
3056,6927.0,17,MOBILE SPEED CAMERA,HEIDELBERG STREET - ST CLARE OF ASSISI PRIMARY,-35.458683,149.095797
3065,21425.0,42,MOBILE SPEED CAMERA,"WHITE CRES, CAMPBELL ST THOMAS",-35.286434,149.156357
3013,39796.0,70,MOBILE SPEED CAMERA,CASEY CRESCENT - CALWELL HIGH SCHOOL,-35.441233,149.116379
4003,298907.0,79,MOBILE SPEED CAMERA,COTTER ROAD – ROAD WORKS,-35.315765,149.076981
3029,16196.0,29,MOBILE SPEED CAMERA,ALBERGA STREET MARIBYRNONG PRIMARY SCHOOL,-35.235253,149.102219
3053,92163.0,125,MOBILE SPEED CAMERA,MCBRYDE CRESCENT - ST MARY MACKILLOP COLLAGE,-35.406012,149.090951
3070,49345.0,56,MOBILE SPEED CAMERA,"ROSS SMITH CRES, SCULLIN SOUTHERN CROSS PRIMARY",-35.233137,149.038887
3025,50862.0,73,MOBILE SPEED CAMERA,ELLERSTON AVE ISABELLA PLAINS PRIMARY,-35.405258,149.117831
3062,106041.0,103,MOBILE SPEED CAMERA,"BADIMARA STREET, WARAMANGA",-35.355139,149.053829
3026,54089.0,81,MOBILE SPEED CAMERA,BOX HILL AVE LANYON HIGH SCHOOL,-35.46098,149.097771
3057,19323.0,42,MOBILE SPEED CAMERA,LAWRENCE WACKETT CRESCENT - THEODORE PRIMARY,-35.447025,149.12462
3049,12132.0,26,MOBILE SPEED CAMERA,WIMMERA STREET - MOTHER TERESA PRIMARY SCHOOL,-35.195384,149.152436
3058,15728.0,34,MOBILE SPEED CAMERA,HAMBIDGE CRESCENT - CAROLINE CHISHOLM SCHOOL,-35.418558,149.122323
3012,16527.0,33,MOBILE SPEED CAMERA,DRUMSTON STREET - ST MARY MACKILLOP COLLEGE,-35.425473,149.090901
3041,4213.0,9,MOBILE SPEED CAMERA,"BURRINJUCK CRESCENT, DUFFY PRIMARY",-35.334808,149.031851
3047,26614.0,42,MOBILE SPEED CAMERA,CHAUVEL STREET - CAMPBELL PRIMARY,-35.290995,149.155772
3021,961.0,3,MOBILE SPEED CAMERA,LAMBRIGG STREET FARRER PRIMARY SCHOOL,-35.379083,149.107299
3074,10383.0,15,MOBILE SPEED CAMERA,"GROOM STREET, HUGHES PRIMARY",-35.3325055201,149.0930128098
3028,9599.0,21,MOBILE SPEED CAMERA,ASHBURTON CCT KALEEN PRIMARY SCHOOL,-35.22518,149.113981
3040,1604.0,7,MOBILE SPEED CAMERA,"NEMARANG CRESCENT, ARAWANG PRIMARY",-35.353754,149.060072
4000,339893.0,103,MOBILE SPEED CAMERA,BARTON HIGHWAY/WILLIAM SLIM DRIVE ROUNDABOUT - ROAD WORKS - NORTHBOUND,-35.202827,149.096463
4001,24432.0,20,MOBILE SPEED CAMERA,BARTON HIGHWAY/WILLIAM SLIM DRIVE ROUNDABOUT- ROAD WORKS -  SOUTHBOUND,-35.202706,149.096607
3044,5872.0,15,MOBILE SPEED CAMERA,"STREETON DRIVE, CHAPMAN PRIMARY",-35.355123,149.042546
3024,257.0,1,MOBILE SPEED CAMERA,BRAMSTON STREET FADDEN PRIMARY SCHOOL,-35.40526,149.117831
3034,1573.0,5,MOBILE SPEED CAMERA,BARNARD CIRT ST FRANCIS XAVIER HIGH,-35.225425,149.040971
4006,52308.0,40,MOBILE SPEED CAMERA,GUNDAROO DRIVE ROAD WORKS,-35.218416,149.080925
3032,325.0,1,MOBILE SPEED CAMERA,HEYDON CRES EVATT PRIMARY SCHOOL,-35.207325,149.076384
3068,325.0,1,MOBILE SPEED CAMERA,ERLDUNDA CCT HAWKER HAWKER PRIMARY,-35.250687,149.034776
