,total_pen,total_incidents,Camera_Type,Location_Desc,lat,lon
181,33383.0,68,MOBILE SPEED CAMERA,MAJURA AVENUE,-35.25182,149.15251
3071,358320.0,237,MOBILE SPEED CAMERA,BINDEL STREET. ARANDA ST VINCENT PRIMARY,-35.254563,149.076254
24,218082.0,261,MOBILE SPEED CAMERA,TUGGERANONG PARKWAY,-35.3079,149.06222
200,545098.0,378,MOBILE SPEED CAMERA,BALDWIN DRIVE,-35.22638,149.09996
3066,249682.0,213,MOBILE SPEED CAMERA,"CHEWINGS ST, SCULLIN ST MATTHEW’S PRIMARY",-35.239339,149.041274
51,28182.0,89,MOBILE SPEED CAMERA,LA PEROUSE STREET,-35.32293,149.13058
35,52731.0,150,MOBILE SPEED CAMERA,MUGGA WAY,-35.33704,149.12212
3016,2314887.0,744,MOBILE SPEED CAMERA,MUGGA WAY CANBERRA BOYS GRAMMAR,-35.331375,149.122657
187,1319520.0,474,MOBILE SPEED CAMERA,PIALLIGO AVENUE,-35.32488,149.22152
3017,665381.0,399,MOBILE SPEED CAMERA,DENISON STREET ALFRED DEAKIN HIGH,-35.32379,149.093457
122,1956021.0,938,MOBILE SPEED CAMERA,GUNGAHLIN DRIVE,-35.24209,149.1107
18,715984.0,674,MOBILE SPEED CAMERA,MELROSE DRIVE,-35.35392,149.08598
64,55963.0,136,MOBILE SPEED CAMERA,HINDMARSH DRIVE,-35.34174,149.15845
3036,1289044.0,573,MOBILE SPEED CAMERA,PHILLIP AVE DICKSON COLLEGE,-35.248805,149.154729
3002,943478.0,463,MOBILE SPEED CAMERA,THE VALLEY AVENUE - BURGMANN ANGLICAN SCHOOL,-35.187726,149.123275
61,1000370.0,704,MOBILE SPEED CAMERA,BARTON HIGHWAY,-35.20754,149.10409
81,1853804.0,776,MOBILE SPEED CAMERA,WILLIAM HOVELL DRIVE,-35.27616,149.07201
3052,68338.0,92,MOBILE SPEED CAMERA,"STERNBERG CRESCENT, WANNIASSA PRIMARY SCHOOL",-35.399175,149.085271
3007,935145.0,500,MOBILE SPEED CAMERA,MAJURA AVENUE - NORTH AINSLIE PRIMARY SCHOOL,-35.253978,149.147274
82,652811.0,491,MOBILE SPEED CAMERA,WILLIAM HOVELL DRIVE,-35.26056,149.02951
86,250156.0,238,MOBILE SPEED CAMERA,BINDUBI STREET,-35.251716,149.075236
207,381872.0,305,MOBILE SPEED CAMERA,FAIRFAX STREET,-35.25921,149.11369
3020,90532.0,118,MOBILE SPEED CAMERA,BEASLEY STREET TORRENS PRIMARY SCHOOL,-35.371858,149.091117
68,418719.0,302,MOBILE SPEED CAMERA,ERINDALE DRIVE BETWEEN LONG GULLY ROAD AND SULWOOD DRIVE,-35.38595,149.1161
79,356641.0,420,MOBILE SPEED CAMERA,CANBERRA AVENUE,-35.34429,149.19382
14,319931.0,426,MOBILE SPEED CAMERA,HINDMARSH DRIVE,-35.34448,149.05326
32,52326.0,123,MOBILE SPEED CAMERA,KERRIGAN STREET,-35.1898,149.02079
156,161409.0,238,MOBILE SPEED CAMERA,STREETON DRIVE,-35.34929,149.04321
43,343573.0,444,MOBILE SPEED CAMERA,WILLIAMSON STREET,-35.33926,149.04715
3050,1127583.0,418,MOBILE SPEED CAMERA,OODGEROO AVENUE - FRANKLIN EARLY CHILDHOOD SCHOOL,-35.197066,149.145771
235,15112.0,34,MOBILE SPEED CAMERA,MAPLETON AVENUE,-35.19435,149.15427
3018,1642112.0,592,MOBILE SPEED CAMERA,LAUNCESTON STREET CANBERRA COLLEGE,-35.340335,149.090097
2,277190.0,413,MOBILE SPEED CAMERA,ANTILL STREET,-35.24855,149.1453
136,140837.0,243,MOBILE SPEED CAMERA,MCINNES STREET,-35.34303,149.05884
57,493640.0,503,MOBILE SPEED CAMERA,NORTHBOURNE AVENUE,-35.2631,149.13178
243,4164692.0,1002,MOBILE SPEED CAMERA,MAJURA PARKWAY,-35.21754,149.195208
206,24865.0,50,MOBILE SPEED CAMERA,MACARTHUR AVENUE,-35.25929,149.12022
66,143688.0,236,MOBILE SPEED CAMERA,GINNINDERRA DRIVE,-35.2412,149.10539
225,174838.0,186,MOBILE SPEED CAMERA,ABENA AVENUE,-35.201168,149.105901
287,34609.0,51,MOBILE SPEED CAMERA,"WESTON STREET, YARRALUMLA",-35.309907,149.103051
1001,30926132.0,2723,RED LIGHT AND SPEED CAMERA,NORTHBOURNE AVENUE/LONDON CIRCUIT,-35.27941,149.12925
1008,1553738.0,1085,RED LIGHT AND SPEED CAMERA,HINDMARSH DRIVE/TUGGERANONG PARKWAY,-35.3483,149.068284
1002,17910155.0,2094,RED LIGHT AND SPEED CAMERA,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,-35.2761,149.12948
1023,2848341.0,1642,RED LIGHT AND SPEED CAMERA,CANBERRA AVENUE/HINDMARSH DRIVE/NEWCASTLE STREET,-35.33802,149.176871
1020,13444904.0,1607,RED LIGHT AND SPEED CAMERA,BARRY DRIVE/MARCUS CLARKE STREET,-35.2755,149.12725
1011,1559484.0,1037,RED LIGHT AND SPEED CAMERA,GINNINDERRA DRIVE/COULTER DRIVE,-35.22168,149.06305
1,853542.0,631,MOBILE SPEED CAMERA,ADELAIDE AVENUE,-35.31073,149.11328
65,49462.0,152,MOBILE SPEED CAMERA,BARRY DRIVE,-35.26063,149.1071
112,332936.0,374,MOBILE SPEED CAMERA,COPLAND DRIVE,-35.20785,149.06516
47,68939.0,135,MOBILE SPEED CAMERA,CHUCULBA CRESCENT,-35.20928,149.0945
3006,590567.0,336,MOBILE SPEED CAMERA,BRIGALOW STREET - LYNEHAM PRIMARY SCHOOL,-35.25063,149.12583
3060,74690.0,86,MOBILE SPEED CAMERA,MARCONI CRESCENT - TAYLOR PRIMARY SCHOOL,-35.377686,149.064281
3077,73207.0,74,MOBILE SPEED CAMERA,"KINGSFORD SMITH PRIMARY STARKE STREET, HOLT",-35.228317,149.020238
153,145861.0,209,MOBILE SPEED CAMERA,WARRAGAMBA AVENUE,-35.33053,149.03384
135,247968.0,304,MOBILE SPEED CAMERA,HILDER STREET,-35.336779,149.058735
3061,517103.0,325,MOBILE SPEED CAMERA,NAMATJIRA DRIVE - ST JOHN VIANNY PRIMARY SCHOOL,-35.351858,149.054001
3038,833248.0,450,MOBILE SPEED CAMERA,"COWPER STREET, DARAMALAN COLLEGE",-35.253648,149.139205
3067,171516.0,133,MOBILE SPEED CAMERA,"SCHUMACK ST, WEETANGERA WEETANGERA PRIMARY",-35.25254,149.048896
26,105824.0,153,MOBILE SPEED CAMERA,TUGGERANONG PARKWAY,-35.36836,149.06045
255,566142.0,360,MOBILE SPEED CAMERA,MOUAT STREET,-35.247882,149.129773
3064,47902.0,70,MOBILE SPEED CAMERA,"BENNELONG CRES, MACQUARIE",-35.250633,149.058803
233,221483.0,198,MOBILE SPEED CAMERA,COTTER ROAD,-35.31267,149.08508
3005,80038.0,115,MOBILE SPEED CAMERA,MURRANJI STREET - BELCONNEN HIGH SCHOOL,-35.247255,149.040058
3059,155956.0,165,MOBILE SPEED CAMERA,HEAGNEY CRESCENT - GILMORE PRIMARY,-35.419625,149.13598
3039,183654.0,232,MOBILE SPEED CAMERA,"DONALDSON STREET, AINSLIE SCHOOL",-35.274185,149.139599
3008,37261.0,61,MOBILE SPEED CAMERA,KOSCIUSZKO AVENUE - PALMERSTON PRIMARY SCHOOL,-35.197898,149.119858
72,1782403.0,693,MOBILE SPEED CAMERA,MONARO HIGHWAY,-35.52339,149.144131
50,16349.0,50,MOBILE SPEED CAMERA,DARWINIA TERRACE,-35.34605,149.02854
83,765186.0,675,MOBILE SPEED CAMERA,COMMONWEALTH AVENUE,-35.28878,149.12762
89,479219.0,326,MOBILE SPEED CAMERA,FEDERAL HIGHWAY,-35.215409,149.184654
20,1632822.0,906,MOBILE SPEED CAMERA,MONARO HIGHWAY,-35.39066,149.16373
266,20889.0,50,MOBILE SPEED CAMERA,AINSWORTH STREET,-35.352938,149.094731
274,92284.0,106,MOBILE SPEED CAMERA,BLACKWOOD TERRACE,-35.335538,149.046653
37,174376.0,236,MOBILE SPEED CAMERA,NAMATJIRA DRIVE,-35.35679,149.04881
208,74144.0,106,MOBILE SPEED CAMERA,MILLER STREET,-35.25507,149.1158
259,50663.0,63,MOBILE SPEED CAMERA,PLIMSOLL DR,-35.167083,149.095982
297,49867.0,69,MOBILE SPEED CAMERA,"MATINA STREET, NARRABUNDAH",-35.332564,149.159171
3055,22648.0,37,MOBILE SPEED CAMERA,KNOKE AVE - GORDON PRIMARY,-35.456732,149.086053
63,48038.0,91,MOBILE SPEED CAMERA,HINDMARSH DRIVE,-35.34944,149.09628
16,70855.0,147,MOBILE SPEED CAMERA,LADY DENMAN DRIVE,-35.30992,149.07826
223,54117.0,84,MOBILE SPEED CAMERA,KOSCIUSZKO AVENUE,-35.190768,149.11755
106,50359.0,126,MOBILE SPEED CAMERA,WILLIAM WEBB DRIVE,-35.22043,149.07001
54,266583.0,343,MOBILE SPEED CAMERA,LAUNCESTON STREET,-35.3396,149.07935
17,299294.0,382,MOBILE SPEED CAMERA,LONG GULLY ROAD,-35.38908,149.13325
231,622368.0,448,MOBILE SPEED CAMERA,KINGS HIGHWAY,-35.334123,149.326102
3078,412012.0,210,MOBILE SPEED CAMERA,"CRANLEIGH SCHOOL STARKE STREET, HIGGINS",-35.225924,149.028609
8,47436.0,112,MOBILE SPEED CAMERA,ERINDALE DRIVE,-35.39788,149.10498
80,205658.0,339,MOBILE SPEED CAMERA,KINGS AVENUE,-35.30585,149.13078
3031,348401.0,318,MOBILE SPEED CAMERA,TILLYARD DR FRASER PRIMARY SCHOOL,-35.192488,149.043271
3063,142949.0,123,MOBILE SPEED CAMERA,"O’HALLORAN CIRC, KAMBAH",-35.393191,149.066987
3003,57275.0,82,MOBILE SPEED CAMERA,MAPLETON AVENUE – MOTHER TERESA PRIMARY SCHOOL,-35.194354,149.15427
198,120666.0,153,MOBILE SPEED CAMERA,COLLEGE STREET,-35.24232,149.0781
3023,214316.0,220,MOBILE SPEED CAMERA,CARRUTHERS STREET CURTIN PRIMARY SCHOOL,-35.331275,149.078696
3030,771131.0,409,MOBILE SPEED CAMERA,KELLEWAY AVE GOLD CREEK HIGH,-35.17976,149.092719
93,44578.0,106,MOBILE SPEED CAMERA,SOUTHERN CROSS DRIVE,-35.22915,149.04283
157,2084.0,8,MOBILE SPEED CAMERA,TOM ROBERTS AVENUE,-35.46142,149.10369
12,330425.0,317,MOBILE SPEED CAMERA,GUNGAHLIN DRIVE,-35.19667,149.13034
29,45084.0,130,MOBILE SPEED CAMERA,OWEN DIXON DRIVE,-35.20355,149.07911
118,121650.0,175,MOBILE SPEED CAMERA,THARWA DRIVE,-35.44793,149.09219
3042,109549.0,124,MOBILE SPEED CAMERA,"MULLEY STREET, ST JUDE’S PRIMARY",-35.332975,149.049043
40,37526.0,107,MOBILE SPEED CAMERA,MARIBYRNONG AVENUE,-35.22875,149.11144
182,80396.0,101,MOBILE SPEED CAMERA,OUTTRIM AVENUE,-35.43574,149.09911
127,274796.0,321,MOBILE SPEED CAMERA,EBDEN STREET,-35.26106,149.14732
3035,69697.0,83,MOBILE SPEED CAMERA,MURRANJI STREET HAWKER COLLAGE,-35.24436,149.031399
59,224390.0,341,MOBILE SPEED CAMERA,BELCONNEN WAY,-35.24087,149.03474
75,270955.0,308,MOBILE SPEED CAMERA,PARKES WAY,-35.28554,149.11247
306,298763.0,217,MOBILE SPEED CAMERA,"MORSHEAD DRIVE, CAMPBELL",-35.302058,149.155271
258,65910.0,81,MOBILE SPEED CAMERA,AMY ACKMAN ST,-35.163902,149.147828
264,28469.0,49,MOBILE SPEED CAMERA,FREMANTLE DRIVE,-35.35053,149.049679
302,7152.0,19,MOBILE SPEED CAMERA,"ARCHIBALD STREET, LYNEHAM",-35.245028,149.124354
27,114348.0,138,MOBILE SPEED CAMERA,YAMBA DRIVE,-35.36973,149.10951
166,356329.0,393,MOBILE SPEED CAMERA,BEASLEY STREET,-35.372,149.08604
130,168114.0,249,MOBILE SPEED CAMERA,CHEWINGS STREET,-35.23493,149.04549
289,8121.0,17,MOBILE SPEED CAMERA,NORRISS STREET. CHISHOLM,-35.416977,149.118431
128,382394.0,392,MOBILE SPEED CAMERA,OFFICER CRESCENT,-35.2573,149.14878
314,19976.0,35,MOBILE SPEED CAMERA,"FULLAGAR CRESCENT, HIGGINS",-35.232028,149.02792
9,215622.0,262,MOBILE SPEED CAMERA,FLOREY DRIVE,-35.21819,149.01942
119,1190050.0,631,MOBILE SPEED CAMERA,HORSE PARK DRIVE,-35.153193,149.111042
3045,180367.0,174,MOBILE SPEED CAMERA,BUGDEN AVE - GOWRIE PRIMARY SCHOOL,-35.414688,149.111849
3073,66412.0,82,MOBILE SPEED CAMERA,"AINSWORTH STREET, MAWSON PRIMARY",-35.357853,149.0971
116,116586.0,115,MOBILE SPEED CAMERA,ASHLEY DRIVE,-35.41527,149.10204
91,274913.0,372,MOBILE SPEED CAMERA,ELLENBOROUGH STREET,-35.24143,149.12637
11,35115.0,100,MOBILE SPEED CAMERA,GINNINDERRA DRIVE,-35.24357,149.11315
53,381204.0,455,MOBILE SPEED CAMERA,GOYDER STREET,-35.33705,149.1552
300,203095.0,179,MOBILE SPEED CAMERA,"BURRINJUCK CRESCENT, DUFFY",-35.339558,149.035771
3004,111972.0,121,MOBILE SPEED CAMERA,NULLARBOR AVENUE - HARRISON PRIMARY SCHOOL,-35.201501,149.152666
251,433095.0,333,MOBILE SPEED CAMERA,CASWELL DRIVE,-35.27559,149.08749
257,47896.0,34,MOBILE SPEED CAMERA,DEAMER CRES,-35.430828,149.123369
7,327285.0,344,MOBILE SPEED CAMERA,DRAKEFORD DRIVE,-35.39358,149.07025
3054,199534.0,167,MOBILE SPEED CAMERA,"COVENANT CHRISTIAN SCHOOL WOODCOCK DRIVE, GORDON",-35.439408,149.08908
56,59388.0,81,MOBILE SPEED CAMERA,ATHLLON DRIVE,-35.39305,149.07827
161,59396.0,132,MOBILE SPEED CAMERA,THEODORE STREET,-35.33562,149.0814
3075,169936.0,157,MOBILE SPEED CAMERA,KENT STREET HUGHES PRIMARY,-35.330984,149.094202
94,248182.0,344,MOBILE SPEED CAMERA,SOUTHERN CROSS DRIVE,-35.2195,149.02132
3022,215730.0,193,MOBILE SPEED CAMERA,LAUNCESTON STREET LYONS PRIMARY SCHOOL,-35.341047,149.076029
126,124781.0,210,MOBILE SPEED CAMERA,REDFERN STREET,-35.25589,149.06429
262,25525.0,38,MOBILE SPEED CAMERA,HEAGNEY CRESCENT,-35.424325,149.115327
34,8936.0,32,MOBILE SPEED CAMERA,HEYSEN STREET,-35.3338,149.06377
215,285881.0,228,MOBILE SPEED CAMERA,BEAUREPAIRE CRESCENT,-35.22677,149.01318
62,127162.0,201,MOBILE SPEED CAMERA,DRAKEFORD DRIVE,-35.40005,149.07374
165,24223.0,67,MOBILE SPEED CAMERA,ELLERSTON AVENUE,-35.42718,149.0991
3015,206569.0,208,MOBILE SPEED CAMERA,LA PEROUSE STREET RED HILL PRIMARY,-35.339955,149.134001
142,1703845.0,728,MOBILE SPEED CAMERA,SUTTON ROAD,-35.31111,149.24746
3051,34393.0,55,MOBILE SPEED CAMERA,"ST ANTHONY PRIMARY WHEELER CRESCENT, WANNIASSA",-35.394878,149.080477
286,17367.0,32,MOBILE SPEED CAMERA,"EYRE STREET, KINGSTON",-35.319037,149.139831
3043,121353.0,143,MOBILE SPEED CAMERA,"PERRY DRIVE, CHAPMAN PRIMARY",-35.357178,149.042929
95,26094.0,63,MOBILE SPEED CAMERA,SULWOOD DRIVE,-35.37926,149.0745
227,156622.0,188,MOBILE SPEED CAMERA,HOSKINS STREET,-35.203381,149.139802
3037,31714.0,61,MOBILE SPEED CAMERA,KNOX STREET MAJURA PRIMARY SCHOOL,-35.237474,149.152808
45,171987.0,293,MOBILE SPEED CAMERA,DRYANDRA STREET,-35.25524,149.11091
111,609546.0,609,MOBILE SPEED CAMERA,LIMESTONE AVENUE,-35.27136,149.14136
3010,45042.0,66,MOBILE SPEED CAMERA,NATIONAL CIRCUIT - FORREST PRIMARY SCHOOL,-35.315443,149.126609
3000,1286845.0,657,MOBILE SPEED CAMERA,COLLEGE STREET - RADFORD COLLEGE,-35.242385,149.087771
76,201701.0,286,MOBILE SPEED CAMERA,YAMBA DRIVE,-35.34636,149.09959
74,7777.0,29,MOBILE SPEED CAMERA,MUGGA LANE,-35.39671,149.14765
250,53221.0,92,MOBILE SPEED CAMERA,KNOKE AVENUE,-35.46136,149.084315
3,63442.0,89,MOBILE SPEED CAMERA,ATHLLON DRIVE,-35.38032,149.09372
3027,132161.0,165,MOBILE SPEED CAMERA,BODDINGTON CRES ST THOMAS THE APOSTLE,-35.380428,149.052719
3009,31938.0,52,MOBILE SPEED CAMERA,BANDJALONG CRESCENT - ARANDA PRIMARY SCHOOL,-35.256223,149.079421
309,19984.0,27,MOBILE SPEED CAMERA,"BANGALAY CRESCENT, RIVETT",-35.349188,149.03948
125,202748.0,242,MOBILE SPEED CAMERA,CASTIEAU STREET,-35.23035,149.03087
1025,2072942.0,1176,RED LIGHT AND SPEED CAMERA,GUNGAHLIN DRIVE/GUNDAROO DRIVE,-35.1863,149.1191
155,9108.0,30,MOBILE SPEED CAMERA,CHARLESTON STREET,-35.4172,149.07982
38,901.0,18,MOBILE SPEED CAMERA,EMPIRE CIRCUIT,-35.31388,149.11409
23,36460.0,50,MOBILE SPEED CAMERA,PARKES WAY,-35.2851,149.09929
132,104061.0,253,MOBILE SPEED CAMERA,CANBERRA AVENUE,-35.32024,149.13865
237,113021.0,145,MOBILE SPEED CAMERA,RAILWAY STREET,-35.342132,149.226579
73,315847.0,427,MOBILE SPEED CAMERA,MUGGA LANE,-35.34743,149.1385
77,117361.0,224,MOBILE SPEED CAMERA,YARRA GLEN,-35.32995,149.08638
183,31601.0,58,MOBILE SPEED CAMERA,COYNE STREET,-35.40908,149.12826
60,32688.0,98,MOBILE SPEED CAMERA,PHILLIP AVENUE,-35.24446,149.15335
114,175996.0,281,MOBILE SPEED CAMERA,GROOM STREET,-35.32959,149.08853
202,69788.0,127,MOBILE SPEED CAMERA,ANZAC PARADE,-35.28627,149.14368
3001,26451.0,49,MOBILE SPEED CAMERA,LHOTSKY STREET - ST THOMAS AQUINAS PRIMARY SCHOOL,-35.204721,149.030789
296,96880.0,107,MOBILE SPEED CAMERA,"CARNEGIE CRESCENT, NARRABUNDAH",-35.336788,149.140834
224,10923.0,27,MOBILE SPEED CAMERA,NUDURR DRIVE,-35.19797,149.110972
186,144731.0,183,MOBILE SPEED CAMERA,ATHLLON DRIVE,-35.42308,149.06763
31,119493.0,208,MOBILE SPEED CAMERA,SPRINGVALE DRIVE,-35.25803,149.0519
139,46304.0,126,MOBILE SPEED CAMERA,CAPTAIN COOK CRESCENT,-35.33458,149.14572
3046,77576.0,92,MOBILE SPEED CAMERA,GOODWIN STREET -  LYNEHAM HIGH SCHOOL,-35.25293,149.131042
4002,423523.0,171,MOBILE SPEED CAMERA,HORSE PARK DRIVE - ROAD WORKS - HARRISON,-35.197646,149.162917
174,275479.0,348,MOBILE SPEED CAMERA,MACGREGOR STREET,-35.31703,149.10146
288,38393.0,58,MOBILE SPEED CAMERA,"STRICKLAND CRESCENT ,DEAKIN",-35.319307,149.102701
15,139093.0,176,MOBILE SPEED CAMERA,KINGSFORD SMITH DRIVE,-35.19422,149.06092
184,3644.0,12,MOBILE SPEED CAMERA,TELOPEA PARK,-35.31572,149.13779
28,50152.0,93,MOBILE SPEED CAMERA,POCKET AVENUE,-35.46851,149.09654
3069,27475.0,38,MOBILE SPEED CAMERA,"WIRRAWAY CRES, SCULLIN SOUTHERN CROSS PRIMARY.",-35.232279,149.037351
160,25725.0,71,MOBILE SPEED CAMERA,STATE CIRCLE,-35.30987,149.1292
277,5274.0,12,MOBILE SPEED CAMERA,"BOLDREWOOD STREET, TURNER",-35.27022,149.11677
3076,102819.0,131,MOBILE SPEED CAMERA,"KOOTARA CRESCENT, NARRABUNDAH EARLY CHILDHOOD SCHOOL",-35.329335,149.150512
171,54361.0,150,MOBILE SPEED CAMERA,WENTWORTH AVENUE,-35.31202,149.14274
120,74511.0,157,MOBILE SPEED CAMERA,KALGOORLIE CRESCENT,-35.36205,149.05662
175,144196.0,198,MOBILE SPEED CAMERA,STERNBERG CRESCENT,-35.40105,149.09489
196,39075.0,64,MOBILE SPEED CAMERA,ANTHONY ROLFE AVENUE,-35.1858,149.14911
308,97201.0,112,MOBILE SPEED CAMERA,"MONARO CRESCENT, RED HILL",-35.338028,149.130783
256,9732.0,16,MOBILE SPEED CAMERA,BUGDEN AVE,-35.400455,149.122919
253,41996.0,70,MOBILE SPEED CAMERA,CHIPPINDALL CIRT,-35.453605,149.118931
138,90908.0,159,MOBILE SPEED CAMERA,KENT STREET,-35.32454,149.0967
307,1031.0,3,MOBILE SPEED CAMERA,"KELLEWAY AVENUE, NICHOLLS",-35.17976,149.092719
3033,14184.0,28,MOBILE SPEED CAMERA,RATCLIFFE CRES FLOREY PRIMARY SCHOOL,-35.226658,149.052354
115,154308.0,256,MOBILE SPEED CAMERA,ISABELLA DRIVE,-35.42005,149.10769
3019,88863.0,132,MOBILE SPEED CAMERA,MARR STREET MELROSE HIGH SCHOOL,-35.361795,149.087758
3072,11137.0,15,MOBILE SPEED CAMERA,"LANGDON AVE, WANNIASSA WANNIASSA HILL PRIMARY.",-35.394284,149.096534
3056,6927.0,17,MOBILE SPEED CAMERA,HEIDELBERG STREET - ST CLARE OF ASSISI PRIMARY,-35.458683,149.095797
3065,21425.0,42,MOBILE SPEED CAMERA,"WHITE CRES, CAMPBELL ST THOMAS",-35.286434,149.156357
141,18112.0,43,MOBILE SPEED CAMERA,STURT AVENUE,-35.32644,149.14893
3013,39796.0,70,MOBILE SPEED CAMERA,CASEY CRESCENT - CALWELL HIGH SCHOOL,-35.441233,149.116379
159,101854.0,161,MOBILE SPEED CAMERA,ARTHUR CIRCLE,-35.32121,149.12196
104,121286.0,235,MOBILE SPEED CAMERA,MAWSON DRIVE,-35.36267,149.10283
4003,298907.0,79,MOBILE SPEED CAMERA,COTTER ROAD – ROAD WORKS,-35.315765,149.076981
150,44065.0,91,MOBILE SPEED CAMERA,FORSYTHE STREET,-35.4749,149.09727
3029,16196.0,29,MOBILE SPEED CAMERA,ALBERGA STREET MARIBYRNONG PRIMARY SCHOOL,-35.235253,149.102219
10,39399.0,85,MOBILE SPEED CAMERA,GINNINDERRA DRIVE,-35.20891,149.03699
42,20446.0,55,MOBILE SPEED CAMERA,PETTERD STREET,-35.23932,149.04509
3053,92163.0,125,MOBILE SPEED CAMERA,MCBRYDE CRESCENT - ST MARY MACKILLOP COLLAGE,-35.406012,149.090951
164,10031.0,35,MOBILE SPEED CAMERA,BARR SMITH AVENUE,-35.42816,149.07471
143,109930.0,155,MOBILE SPEED CAMERA,BATEMAN STREET,-35.39096,149.05003
209,3208.0,8,MOBILE SPEED CAMERA,BANDJALONG CRESCENT,-35.25938,149.07555
229,11658.0,25,MOBILE SPEED CAMERA,CLARRIE HERMES DRIVE,-35.177975,149.088232
96,28314.0,61,MOBILE SPEED CAMERA,COULTER DRIVE,-35.26126,149.05598
313,4678.0,13,MOBILE SPEED CAMERA,"RODEN CUTLER DRIVE, JACKA",-35.16085,149.13183
275,23703.0,47,MOBILE SPEED CAMERA,O'HALLORAN CIRCUIT,-35.393191,149.066987
240,6624.0,20,MOBILE SPEED CAMERA,O'LOGHLEN STREET,-35.220881,149.038118
110,21668.0,54,MOBILE SPEED CAMERA,ARCHDALL STREET,-35.20348,149.01665
